subject_id,tract,accuracy,precision,recall,F1,AUCROC,DICE,wDICE
sub-1049,AF_L,0.49750816822052,0.5,0.49750816822052,0.4987509548664093,0.0,0.7888790965080261,0.6249433159828186
sub-1049,AF_R,0.47025495767593384,0.5,0.47025495767593384,0.48467153310775757,0.0,0.957966148853302,0.8443442583084106
sub-1049,CC_Fr_1,0.45955216884613037,0.5,0.45955216884613037,0.47892358899116516,0.0,0.6214818954467773,0.6753458976745605
sub-1049,CC_Fr_2,0.2675429582595825,0.3333333432674408,0.2675429582595825,0.2968364357948303,0.0,0.6038163900375366,0.6272678971290588
sub-1049,CC_Oc,0.4938308596611023,0.5,0.4938308596611023,0.49689629673957825,0.0,0.5724049806594849,0.7247132658958435
sub-1049,CC_Pa,0.3773965835571289,0.5,0.3773965835571289,0.43013226985931396,0.0,0.6135268211364746,0.6916322112083435
sub-1049,CC_Pr_Po,0.2846308946609497,0.3333333432674408,0.2846308946609497,0.30706295371055603,0.0,0.5042123794555664,0.6341008543968201
sub-1049,CG_L,1.0,1.0,1.0,1.0,0.0,0.9012860059738159,0.8666263818740845
sub-1049,CG_R,1.0,1.0,1.0,1.0,0.0,0.8544039130210876,0.7670739889144897
sub-1049,FAT_L,1.0,1.0,1.0,1.0,0.0,0.7666003108024597,0.7019087672233582
sub-1049,FAT_R,0.4999748468399048,0.5,0.4999748468399048,0.4999874234199524,0.0,0.6968050003051758,0.6803538799285889
sub-1049,ILF_L,0.3290424048900604,0.3333333432674408,0.3290424048900604,0.33117398619651794,0.0,0.9049921631813049,0.7108228802680969
sub-1049,ILF_R,0.24893994629383087,0.25,0.24893994629383087,0.2494688481092453,0.0,0.737331211566925,0.7391624450683594
sub-1049,MCP,1.0,1.0,1.0,1.0,0.0,0.6903222799301147,0.8981372714042664
sub-1049,MdLF_L,1.0,1.0,1.0,1.0,0.0,1.0,1.0
sub-1049,MdLF_R,1.0,1.0,1.0,1.0,0.0,1.0,1.0
sub-1049,OR_ML_L,0.4999702572822571,0.5,0.4999702572822571,0.49998512864112854,0.0,0.6727440357208252,0.6748400330543518
sub-1049,OR_ML_R,0.4994952082633972,0.5,0.4994952082633972,0.49974748492240906,0.0,0.9994105696678162,0.9989957809448242
sub-1049,UF_L,1.0,1.0,1.0,1.0,0.0,1.0,1.0
sub-1049,UF_R,1.0,1.0,1.0,1.0,0.0,0.9647024869918823,0.9198555946350098
sub-1164,AF_L,0.4999217391014099,0.5,0.4999217391014099,0.49996086955070496,0.0,0.6663031578063965,0.6686579585075378
sub-1164,AF_R,1.0,1.0,1.0,1.0,0.0,1.0,1.0
sub-1164,CC_Fr_1,0.46873173117637634,0.5,0.46873173117637634,0.4838612377643585,0.0,0.47439509630203247,0.6824821829795837
sub-1164,CC_Fr_2,0.2733093500137329,0.3333333432674408,0.2733093500137329,0.3003518283367157,0.0,0.42501041293144226,0.6229801774024963
sub-1164,CC_Oc,1.0,1.0,1.0,1.0,0.0,0.5343111157417297,0.7348787784576416
sub-1164,CC_Pa,0.3136814832687378,0.3333333432674408,0.3136814832687378,0.3232089579105377,0.0,0.521579921245575,0.6794147491455078
sub-1164,CC_Pr_Po,0.3208440840244293,0.3333333432674408,0.3208440840244293,0.3269694745540619,0.0,0.4830666482448578,0.6739098429679871
sub-1164,CG_L,1.0,1.0,1.0,1.0,0.0,0.7229817509651184,0.8305449485778809
sub-1164,CG_R,1.0,1.0,1.0,1.0,0.0,0.6705882549285889,0.8121548891067505
sub-1164,FAT_L,1.0,1.0,1.0,1.0,0.0,0.580375611782074,0.6981001496315002
sub-1164,FAT_R,1.0,1.0,1.0,1.0,0.0,0.549235999584198,0.6964666843414307
sub-1164,FPT_L,0.49992281198501587,0.5,0.49992281198501587,0.49996140599250793,0.0,0.5343520045280457,0.6351975202560425
sub-1164,FPT_R,0.49145448207855225,0.5,0.49145448207855225,0.49569040536880493,0.0,0.4195654094219208,0.581286609172821
sub-1164,ILF_L,0.3332427442073822,0.3333333432674408,0.3332427442073822,0.3332880437374115,0.0,0.6014144420623779,0.701194167137146
sub-1164,ILF_R,0.49866560101509094,0.5,0.49866560101509094,0.49933192133903503,0.0,0.6629685759544373,0.6861695647239685
sub-1164,MCP,1.0,1.0,1.0,1.0,0.0,0.5853757262229919,0.8035179972648621
sub-1164,MdLF_L,0.4999886155128479,0.5,0.4999886155128479,0.49999430775642395,0.0,0.6371798515319824,0.7292727828025818
sub-1164,MdLF_R,1.0,1.0,1.0,1.0,0.0,0.5959052443504333,0.7062706351280212
sub-1164,POPT_L,0.1834619790315628,0.3333333432674408,0.1834619790315628,0.23666620254516602,0.0,0.4175164997577667,0.620540976524353
sub-1164,POPT_R,0.4776530861854553,0.5,0.4776530861854553,0.4885711371898651,0.0,0.4230213165283203,0.6674438118934631
sub-1164,PYT_L,0.13069377839565277,0.3333333432674408,0.13069377839565277,0.18776744604110718,0.0,0.41268813610076904,0.6145156621932983
sub-1164,PYT_R,0.1281549483537674,0.3333333432674408,0.1281549483537674,0.18513281643390656,0.0,0.4374547302722931,0.6652826070785522
sub-1164,SLF_L,0.49734899401664734,0.5,0.49734899401664734,0.4986709654331207,0.0,0.9099897146224976,0.8869539499282837
sub-1164,SLF_R,0.4995504915714264,0.5,0.4995504915714264,0.49977514147758484,0.0,0.6537505984306335,0.6723179221153259
sub-1047,AF_L,0.4999292492866516,0.5,0.4999292492866516,0.4999646246433258,0.0,0.9473810791969299,0.7511178255081177
