subject_id,tract,n_streamlines,accuracy,precision,recall,F1,AUCROC,DICE,wDICE
sub-1049,AF_L,29095,0.9999899390949393,1.0,0.9996219281663516,0.9998109283418416,1.0,0.9987083077430725,0.9999399185180664
sub-1049,AF_R,5295,0.9997310994465588,1.0,0.9444759206798867,0.9714452214452215,0.9999138978524239,0.9319250583648682,0.9867867827415466
sub-1049,CC_Fr_1,209146,0.9770876606657941,0.9440625226137926,0.9356621690111214,0.9398435755263177,0.9981264671773036,0.9657021760940552,0.9930304288864136
sub-1049,CC_Fr_2,186694,0.9201886694087206,0.7323580959502722,0.8393360257962227,0.7822063150958796,0.9784163872761266,0.8486414551734924,0.9753581881523132
sub-1049,CC_Oc,94827,0.9989545805014172,1.0,0.9879464709418204,0.9939366933494597,0.9999999558594074,0.988948404788971,0.9997106790542603
sub-1049,CC_Pa,142859,0.9616039277773357,0.7797113022453653,0.9842082052933312,0.8701057595316629,0.9944146305288379,0.9371513724327087,0.9981802105903625
sub-1049,CC_Pr_Po,224472,0.9056817589388855,0.8730127503657892,0.6326223315157347,0.7336271161923261,0.9739078525508102,0.875232458114624,0.9704529047012329
sub-1049,CG_L,6498,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1049,CG_R,19810,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1049,FAT_L,41195,0.9999314029200405,0.9981826992973104,1.0,0.9990905232522889,0.9999999999538567,0.9957683682441711,0.999066948890686
sub-1049,FAT_R,59612,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1049,ILF_L,7846,0.9998161598257086,1.0,0.9743818506245221,0.9870247240333097,0.9999849510269403,0.9885024428367615,0.9982297420501709
sub-1049,ILF_R,23348,0.9998362816358299,0.9997842875016179,0.9925475415453143,0.9961527715090163,0.9999998362834113,0.9968423843383789,0.9997668266296387
sub-1049,MCP,15565,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1049,MdLF_L,89,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1049,MdLF_R,2618,0.9999881098394737,0.9950589129608514,1.0,0.9975233377786245,1.0,0.9732850193977356,0.9963842034339905
sub-1049,OR_ML_L,16806,0.999884756905668,0.9931409649952696,0.9994049744138997,0.9962631235541847,0.9999992070636757,0.9821440577507019,0.9986221194267273
sub-1049,OR_ML_R,1981,0.999920427387247,0.9601554907677357,0.9974760222110045,0.9784600148551622,0.9999991114643504,0.9442033767700195,0.9835522174835205
sub-1049,UF_L,842,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1049,UF_R,4743,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1164,AF_L,70285,0.9999383912006206,0.9985508070015913,0.9999573166393967,0.9992535668839616,0.9999970319308142,0.9967647194862366,0.9998806715011597
sub-1164,AF_R,2023,0.9999008391705226,0.9229014598540146,1.0,0.9599051008303677,0.999999873973143,0.9417094588279724,0.974808394908905
sub-1164,CC_Fr_1,210517,0.9776559553412482,0.8878278080158337,0.937563237173245,0.912017965607506,0.9974512916531083,0.9456002712249756,0.993120551109314
sub-1164,CC_Fr_2,311420,0.969173303792403,0.9421463607919223,0.8856817160105324,0.9130418950769312,0.9935851721052095,0.9228584170341492,0.9765756130218506
sub-1164,CC_Oc,130350,0.9999988264990595,0.9999846569289309,1.0,0.9999923284056126,1.0,0.9997406005859375,0.999996542930603
sub-1164,CC_Pa,113187,0.9880478929203862,0.8476630683137684,0.9996907772093968,0.9174213739591526,0.9994070581523848,0.9722980856895447,0.9988265633583069
sub-1164,CC_Pr_Po,177753,0.9795670016229518,0.9349078936958758,0.8642610813882184,0.8981974660453587,0.9966284394064255,0.9036267995834351,0.9949297904968262
sub-1164,CG_L,9523,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1164,CG_R,11852,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1164,FAT_L,95141,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1164,FAT_R,123321,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1164,FPT_L,12957,0.9992043663622996,0.9070811986806092,0.9975302925059814,0.95015805337058,0.9999601052161602,0.9875319600105286,0.9984078407287598
sub-1164,FPT_R,14218,0.9992765366701442,0.9425397041783109,0.9725699817133211,0.9573193949254042,0.9999392814016465,0.9685649275779724,0.995265007019043
sub-1164,ILF_L,84615,0.9998932114144089,0.9999763137013394,0.9978727176032618,0.9989234081820978,0.999999887493464,0.9981839656829834,0.9999542236328125
sub-1164,ILF_R,32599,0.999991785493416,1.0,0.9995705389735882,0.9997852233676976,1.0,0.9988715648651123,0.9999470710754395
sub-1164,MCP,64271,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1164,MdLF_L,43875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sub-1164,MdLF_R,39638,0.9999207886865121,0.9996964100488274,0.9968969170997528,0.9982947009410724,0.9999998534340584,0.995302677154541,0.9998434782028198
sub-1164,POPT_L,23191,0.9883735394313918,0.6572280178837556,0.30425596136432237,0.415951896719427,0.994707421119817,0.7832378149032593,0.7806066274642944
sub-1164,POPT_R,25037,0.9868063289252726,0.5410511409352773,0.6714462595358869,0.5992371854281029,0.993410495042214,0.9110236167907715,0.9818384051322937
sub-1164,PYT_L,23893,0.9876412748444818,0.5403639890460977,0.792826350814046,0.6426911397988091,0.993789015429734,0.8290097117424011,0.9784443974494934
sub-1164,PYT_R,45986,0.9860828655954168,0.7818678953897567,0.6715739572913495,0.7225361174475055,0.9954108109022501,0.8727424740791321,0.9692981243133545
