subject_id,tract,n_streamlines,accuracy,precision,recall,F1,AUCROC,DICE,wDICE
sub-1046,FPT_L,15064,0.9958629159495124,0.8449969134070374,0.9995353159851301,0.9157923547121612,0.9999442264343797,0.8747966885566711,0.9756450653076172
sub-1046,FPT_R,5573,0.9907920371964046,0.4745996211468917,0.9890543692804593,0.6414150229824868,0.999112770878477,0.7228695750236511,0.7775229811668396
sub-1046,ILF_L,10627,0.9963305603365844,0.93878208570508,0.822527524230733,0.8768181362222891,0.9997135516060415,0.9026374220848083,0.9750745296478271
sub-1046,ILF_R,18936,0.9957912005163512,1.0,0.8512357414448669,0.9196405648267009,0.999212196841837,0.9802839159965515,0.9914280772209167
sub-1046,MCP,37539,0.9999805770701855,0.9997070416533503,0.9999467220757079,0.9998268675003662,0.99999992279515,0.995299220085144,0.9998603463172913
sub-1046,OR_ML_L,8974,0.9989436914323963,0.9998790663925505,0.9213282817026966,0.958997854201705,0.9988942279448824,0.9716193675994873,0.9950432181358337
sub-1046,OR_ML_R,4182,0.9999581659973227,0.9985597695631301,0.9947393591582975,0.9966459032103497,0.9999997709929421,0.992175281047821,0.999151349067688
sub-1046,POPT_L,40522,0.9454006502199274,0.5498971451507702,0.5409407235575736,0.5453821656050956,0.97391896375481,0.8835324645042419,0.9824544191360474
sub-1046,POPT_R,79499,0.8969314759036144,0.6434614125095514,0.29659492572233614,0.4060339409176619,0.946964725427911,0.7900720834732056,0.9157634377479553
sub-1046,PYT_L,68778,0.9341189161407535,0.7003392691914355,0.6272790717962139,0.6617988817389037,0.9759401837856374,0.8261879086494446,0.977867841720581
sub-1046,PYT_R,83665,0.8917186603557086,0.5475221877786742,0.7705492141277714,0.6401668238915644,0.9414486775671841,0.8620035648345947,0.9902435541152954
sub-1156,AF_L,15283,0.9982315358886469,0.9975113122171946,0.8654714388536282,0.9268121781172266,0.9931039057917891,0.949544370174408,0.993302047252655
sub-1156,AF_R,9424,0.9993481486999799,0.9331331331331332,0.9891765704584041,0.9603379004841867,0.9999439758376781,0.8433042168617249,0.9733561277389526
sub-1156,CC_Fr_1,164188,0.9507166554779636,0.9987574833389812,0.6462348040051649,0.7847232494157323,0.9960098343996726,0.7564878463745117,0.8470342755317688
sub-1156,CC_Fr_2,295093,0.8731040227690813,0.775923469562276,0.6918293554913196,0.7314673488545407,0.8330821470790855,0.7773787379264832,0.8795931339263916
sub-1156,CC_Oc,43854,0.9992482546046522,1.0,0.9797509919277603,0.9897719419488598,0.9999996044058905,0.9857698082923889,0.999462366104126
sub-1156,CC_Pr_Po,87372,0.9070874860635039,0.42909012565504745,0.7750309023485785,0.5523665803372964,0.9352498692664822,0.772699236869812,0.8816725611686707
sub-1156,FAT_L,70743,0.9989917468852937,0.990590525632706,0.9925929067186859,0.9915907052934074,0.9999881426414731,0.9349430799484253,0.9945021867752075
sub-1156,FAT_R,36508,0.9974120656829074,0.9779397056722389,0.9374109784156898,0.9572465490958422,0.9998640233950491,0.9025752544403076,0.9843796491622925
